Package,Current Version,Fixed Version,Severity,CVE/GHSA,CVSS Score,CWE,Description,Fix Available,Priority,Effort,Status
next,14.2.5,14.2.33,CRITICAL,GHSA-f82v-jwr5-mffw,9.1,CWE-285/863,Authorization Bypass in Middleware,Yes,P0-Critical,Low,Pending
next,14.2.5,14.2.33,HIGH,GHSA-gp8f-8m3g-qvj9,7.5,CWE-349/639,Cache Poisoning,Yes,P0-Critical,Low,Pending
next,14.2.5,14.2.33,MODERATE,GHSA-4342-x723-ch2f,6.5,CWE-918,SSRF in Middleware Redirect,Yes,P0-Critical,Low,Pending
next,14.2.5,14.2.33,HIGH,GHSA-7gfc-8cq8-jh5f,7.5,CWE-285/863,Authorization Bypass,Yes,P0-Critical,Low,Pending
next,14.2.5,14.2.33,MODERATE,GHSA-g5qg-72qw-gw5v,6.2,CWE-524,Cache Key Confusion,Yes,P0-Critical,Low,Pending
form-data,4.0.0-4.0.3,4.0.4+,CRITICAL,GHSA-fjxv-7rqg-78g4,N/A,CWE-330,Unsafe Random Function in Boundary,Yes,P0-Critical,Low,Pending
axios,1.7.9,1.13.1,HIGH,GHSA-jr5f-v2jv-69x6,N/A,CWE-918,SSRF and Credential Leakage,Yes,P0-Critical,Low,Pending
axios,1.7.9,1.13.1,HIGH,GHSA-4hjh-wcwx-xvwj,7.5,CWE-770,DoS through lack of size check,Yes,P0-Critical,Low,Pending
sweetalert2,11.12.2,11.26.3,LOW,GHSA-mrr8-v49w-3333,N/A,CWE-440,Potentially undesirable behavior,Yes,P1-High,Low,Pending
tar-fs,2.0.0-2.1.3,2.1.4+,HIGH,GHSA-8cj5-5rvv-wf4v,N/A,CWE-22,Extract outside specified directory,Yes,P1-High,Low,Pending
tar-fs,2.0.0-2.1.3,2.1.4+,HIGH,GHSA-vj76-c3g6-qr5v,N/A,CWE-22/61,Symlink validation bypass,Yes,P1-High,Low,Pending
pdfjs-dist,3.11.174,5.4.296,HIGH,GHSA-wgrm-67xf-hhpq,8.8,CWE-754,Arbitrary JavaScript Execution (RCE),Yes,P1-High,High,Pending
"@react-pdf-viewer/core",*,latest,HIGH,via pdfjs-dist,8.8,CWE-754,Indirect vulnerability from pdfjs-dist,No,P1-High,High,Pending
react-to-pdf,1.0.1,2.0.1,HIGH,via jspdf,7.5,CWE-400/770,DoS vulnerabilities in jspdf,Yes,P1-High,Medium,Pending
jspdf,<=3.0.1,3.0.2+,HIGH,GHSA-w532-jxjh-hjhj,N/A,CWE-400/770,ReDoS Bypass,Yes (via react-to-pdf),P1-High,Medium,Pending
jspdf,<=3.0.1,3.0.2+,HIGH,GHSA-8mvj-3j78-4qmw,7.5,CWE-20/835,Denial of Service,Yes (via react-to-pdf),P1-High,Medium,Pending
dompurify,<3.2.4,3.2.4+,MODERATE,GHSA-vhxf-7vqr-mrjg,4.5,CWE-79,XSS vulnerability,Yes (via react-to-pdf),P2-Medium,Medium,Pending
canvg,<3.0.11,3.0.11+,HIGH,GHSA-v2mw-5mch-w8c5,N/A,CWE-1321,Prototype Pollution,Yes,P1-High,Low,Pending
dependency-cruiser,11.18.0,17.2.0,HIGH,via json5,7.1,CWE-1321,Prototype Pollution in json5,Yes,P2-Medium,Low,Pending
json5,<2.2.2,2.2.2+,HIGH,GHSA-9c47-m6qq-7p4h,7.1,CWE-1321,Prototype Pollution via Parse,Yes (via dep-cruiser),P2-Medium,Low,Pending
"@babel/helpers",<7.26.10,7.26.10+,MODERATE,GHSA-968p-4wvh-cqc8,6.2,CWE-1333,Inefficient RegExp (ReDoS),Yes,P2-Medium,Low,Pending
brace-expansion,1.0.0-1.1.11,1.1.12+,LOW,GHSA-v6h2-p8h4-qcjw,3.1,CWE-400,ReDoS vulnerability,Yes,P3-Low,Low,Pending
brace-expansion,2.0.0-2.0.1,2.0.2+,LOW,GHSA-v6h2-p8h4-qcjw,3.1,CWE-400,ReDoS vulnerability,Yes,P3-Low,Low,Pending
xlsx,0.18.5,0.20.2+,HIGH,GHSA-4r6h-8v6p-xvw6,7.8,CWE-1321,Prototype Pollution,No,P2-Medium,High,Blocked
xlsx,0.18.5,0.20.2+,HIGH,GHSA-5pgg-2g8v-p4x9,7.5,CWE-1333,ReDoS vulnerability,No,P2-Medium,High,Blocked
xlsx-style,0.8.13,N/A (Replace),MODERATE,via jszip,7.3,CWE-22,Path Traversal in jszip,No,P2-Medium,High,Blocked
jszip,<=3.7.1,3.8.0+,MODERATE,GHSA-jg8v-48h5-wgxg,5.3,CWE-1321,Prototype Pollution,No (via xlsx-style),P2-Medium,High,Blocked
jszip,<=3.7.1,3.8.0+,MODERATE,GHSA-36fh-84j7-cv5h,7.3,CWE-22,Path Traversal via loadAsync,No (via xlsx-style),P2-Medium,High,Blocked

